,seed,name_data,objective,prior_type,model,sigma_prior,pmin,learning_rate,momentum,learning_rate_prior,momentum_prior,delta,layers,delta_test,mc_samples,kl_penalty,train_epochs,verbose,device,prior_epochs,dropout_prob,perc_train,verbose_test,perc_prior,batch_size,Objective,Dataset,Sigma,LR,LR_prior,dropout,Obj_train,Risk_CE,Risk_01,KL,Train xe loss,Train 01 loss,Empirical xe risk,Empirical 01 risk,Stch loss,Stch 01 error,Post mean loss,Post mean 01 error,Ens loss,Ens 01 error,01 error prior net
40,6,mnist,fquad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,mnist,0.03,0.005,0.005,0.0,0.4955894649028778,0.2009687056366153,0.3764145038654553,0.0838289306640625,"tensor(0.0469, device='cuda:0')",0.1700920766666666,0.0572727882855197,0.187847732288974,0.0471902303397655,0.1653,0.0299267526715993,0.0938,0.0011095029767602,0.1070999999999999,0.9137
41,6,mnist,f_rts_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,mnist,0.03,0.005,0.005,0.0,0.3397665023803711,0.2306445522246804,0.3508208498857462,0.1518906412760416,"tensor(0.0271, device='cuda:0')",0.0966176566666669,0.0352755618873145,0.1107872823296218,0.0275408681482076,0.0964,0.0169389005750417,0.0544,0.0005940588307566,0.0588999999999999,0.9137
42,7,mnist,fgrad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad,mnist,0.03,0.005,0.005,0.0,0.1681074053049087,0.1792759609024762,0.3702219325614166,0.0523452433268229,"tensor(0.0568, device='cuda:0')",0.2009097866666667,0.0680489804227603,0.2197710640347593,0.0573741719126701,0.1967999999999999,0.033862717449665,0.1095,0.0014064954593777,0.1051999999999999,0.8792
43,7,mnist,fquad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad,mnist,0.03,0.005,0.005,0.0,0.2112151980400085,0.1855348379143686,0.4377908923678295,0.0322632019042968,"tensor(0.0810, device='cuda:0')",0.29225053,0.0941744623156037,0.3134686508951726,0.0826092213392257,0.2921,0.0519891008734703,0.1454999999999999,0.0020256787538528,0.138,0.8792
44,7,mnist,f_rts,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts,mnist,0.03,0.005,0.005,0.0,0.1526028215885162,0.1807592653101533,0.3501730295799592,0.0648275227864583,"tensor(0.0480, device='cuda:0')",0.1690675099999995,0.0584646137845051,0.1867848605870663,0.0482543520629406,0.1674999999999999,0.0282407850027084,0.0965,0.0011870682938024,0.0931999999999999,0.8792
45,7,mnist,fgrad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,mnist,0.03,0.005,0.005,0.0,0.3188553750514984,0.212797268711448,0.3381890209430803,0.12629677734375,"tensor(0.0300, device='cuda:0')",0.1052691166666665,0.0385045845830546,0.1199532442545213,0.0304223727434873,0.1052999999999999,0.0173604860901832,0.0651,0.0007532812887802,0.0671,0.8792
46,7,mnist,fquad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,mnist,0.03,0.005,0.005,0.0,0.5013779401779175,0.2019911968160407,0.3813655433242573,0.0832103922526041,"tensor(0.0479, device='cuda:0')",0.1747176400000001,0.0583562576196744,0.192651374753305,0.0487064160406589,0.1739,0.0275571104139089,0.0964,0.0012322209076955,0.1139999999999999,0.8792
47,7,mnist,f_rts_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,mnist,0.03,0.005,0.005,0.0,0.3288396298885345,0.2281620541759553,0.3418512472828986,0.1525287272135416,"tensor(0.0257, device='cuda:0')",0.0902044099999999,0.0336833903741064,0.1039696564234957,0.026267185807228,0.0927,0.0144724184647202,0.0553,0.0006458412972278,0.0571,0.8792
48,8,mnist,fgrad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad,mnist,0.03,0.005,0.005,0.0,0.170396625995636,0.1818931274690821,0.3850744462560365,0.0530184041341145,"tensor(0.0579, device='cuda:0')",0.2127128800000005,0.0692428363872719,0.2319502748918136,0.0574796572327613,0.2064,0.0318207927048206,0.1129999999999999,0.0013539416249841,0.1166,0.9053
49,8,mnist,fquad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad,mnist,0.03,0.005,0.005,0.0,0.2142289131879806,0.1879288211410844,0.4556437184487499,0.032888671875,"tensor(0.0820, device='cuda:0')",0.3077555766666676,0.0952247721031108,0.3292641018560119,0.0822635740041732,0.3043,0.047733474522829,0.1474999999999999,0.0019899553153663,0.1568,0.9053
50,8,mnist,f_rts,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts,mnist,0.03,0.005,0.005,0.0,0.1549852788448333,0.1833859081525266,0.3618344892857055,0.0658377522786458,"tensor(0.0488, device='cuda:0')",0.1774288300000001,0.0593802104721186,0.1954636803074656,0.0482301339507103,0.1697999999999999,0.026426613330841,0.0995,0.0011134550441056,0.1007,0.9053
